Customer ID,L,R,F,M,S,cluster,score,tier,risk_flag,stability_score
12385,0.0,14.0,1.0,1938.4,0.3849865951742627,1.0,1938.4,Gold,Low Risk,0.3705366961596791
12386,0.0,1.0,1.0,258.90000000000003,0.3989276139410188,1.0,258.90000000000003,Bronze,Low Risk,0.3978581029116863
12387,0.0,50.0,1.0,143.94,0.3463806970509384,1.0,143.94,Bronze,Low Risk,0.2999489682237348
12388,136.0,80.0,2.0,1120.45,0.3171502917520896,1.0,2240.9,Gold,Low Risk,0.2491287814567352
12389,253.0,37.0,3.0,1433.33,0.3662040687588708,1.0,4299.99,Gold,Low Risk,0.3298781959865431
12391,198.0,99.0,5.0,2312.53,0.3055984860432109,1.0,11562.65,Gold,High Risk,0.2244878959137796
12392,0.0,226.0,1.0,234.75000000000003,0.1576407506702413,1.0,234.75000000000003,Bronze,High Risk,0.0621265156796929
12393,46.0,17.0,2.0,816.85,0.3847106134679072,1.0,1633.7,Silver,Low Risk,0.3671768857763404
12395,231.0,6.0,4.0,2048.64,0.4023892130578773,1.0,8194.56,Gold,Low Risk,0.3959164643223618
12396,0.0,309.0,1.0,931.43,0.0686327077747989,1.0,931.43,Silver,High Risk,0.0117761214412523
12399,259.0,20.0,3.0,853.65,0.3844346317615518,1.0,2560.95,Gold,Low Risk,0.3638215147770182
12400,0.0,49.0,1.0,205.25,0.3474530831099196,1.0,205.25,Bronze,Low Risk,0.3018091124064717
12402,277.0,27.0,5.0,1031.3,0.3828102822898596,1.0,5156.5,Gold,Low Risk,0.3551001546174032
12403,0.0,156.0,1.0,591.6600000000001,0.2327077747989276,1.0,591.6600000000001,Silver,High Risk,0.135382271129671
12404,0.0,317.0,1.0,63.24,0.060053619302949,1.0,63.24,Platinum,Low Risk,0.8
12406,297.0,34.0,3.0,2975.06,0.3694212269358145,0.0,8925.18,Gold,Low Risk,0.3357474421749091
12408,112.0,20.0,3.0,1452.22,0.3844346317615518,1.0,4356.66,Gold,Low Risk,0.3638215147770182
12409,144.0,55.0,4.0,12346.62,0.3498422961677969,0.0,49386.48,Platinum,Low Risk,0.2982569709956016
12410,0.0,137.0,1.0,320.38,0.253083109919571,1.0,320.38,Silver,High Risk,0.1601276513164041
12411,0.0,44.0,1.0,346.9,0.3528150134048258,1.0,346.9,Silver,Low Risk,0.3111960842096185
12412,137.0,37.0,3.0,1370.05,0.3662040687588708,1.0,4110.15,Gold,Low Risk,0.3298781959865431
12413,0.0,37.0,1.0,241.35,0.3603217158176944,1.0,241.35,Bronze,Low Risk,0.3245793472245183
12414,0.0,98.0,3.0,390.0,0.3007885191610156,1.0,1170.0,Silver,High Risk,0.2217609725717943
12415,152.0,10.0,7.0,19543.84,0.4069231982337171,0.0,136806.88,Platinum,Low Risk,0.3960137291121697
12416,0.0,291.0,1.0,202.56,0.0879356568364611,1.0,202.56,Bronze,High Risk,0.0193316993581496
12417,323.0,45.0,11.0,3167.81,0.3811543920517269,0.0,34845.91,Platinum,Low Risk,0.3351706182117062
12418,216.0,48.0,3.0,1352.62,0.3544078221100772,1.0,4057.86,Gold,Low Risk,0.3088003811951075
12419,27.0,20.0,2.0,503.01,0.3814934552909635,1.0,1006.02,Silver,Low Risk,0.361038042138633
12421,90.0,50.0,2.0,291.56,0.3493218735215266,1.0,583.12,Silver,Low Risk,0.3024958851138152
12422,327.0,29.0,14.0,4428.24,0.4071360984071913,0.0,61995.36,Platinum,Low Risk,0.3754820853942997
12423,78.0,22.0,2.0,763.08,0.3793486831730011,1.0,1526.16,Silver,Low Risk,0.3569742300099822
12424,125.0,57.0,2.0,1579.07,0.3418151711086579,1.0,3158.14,Gold,Low Risk,0.2895806811537155
12425,0.0,83.0,1.0,964.21,0.3109919571045576,1.0,964.21,Silver,Low Risk,0.2417899934593075
12426,0.0,297.0,1.0,762.48,0.0815013404825737,1.0,762.48,Silver,High Risk,0.016606171251141
12427,0.0,6.0,1.0,303.5,0.3935656836461126,1.0,303.5,Silver,Low Risk,0.38723486835958
12429,180.0,0.0,5.0,3735.51,0.411764705882353,0.0,18677.550000000003,Platinum,Low Risk,0.411764705882353
12431,320.0,8.0,13.0,4370.52,0.426715029175209,0.0,56816.76000000001,Platinum,Low Risk,0.4175629642063037
12433,110.0,1.0,5.0,7205.39,0.4106923198233717,0.0,36026.950000000004,Platinum,Low Risk,0.4095912680275985
12434,0.0,16.0,1.0,297.29,0.3828418230563002,1.0,297.29,Silver,Low Risk,0.3664196537026787
12435,340.0,31.0,4.0,6096.04,0.3755795615833465,0.0,24384.16,Platinum,Low Risk,0.344365174427626
12437,341.0,30.0,21.0,7731.99,0.4266519476423277,0.0,162371.79,Platinum,Low Risk,0.3923367775906659
12439,43.0,317.0,2.0,1158.18,0.0629947957735373,1.0,2316.36,Gold,High Risk,0.0094576637086275
12440,255.0,97.0,2.0,859.2,0.2989197287494086,1.0,1718.4,Gold,High Risk,0.2211845714070691
12441,0.0,1.0,1.0,173.55,0.3989276139410188,1.0,173.55,Bronze,Low Risk,0.3978581029116863
12443,0.0,367.0,1.0,485.31,0.0064343163538874,1.0,485.31,Silver,High Risk,0.0001035010673547
12445,0.0,55.0,1.0,301.58000000000004,0.3410187667560322,1.0,301.58000000000004,Silver,Low Risk,0.2907344981995127
12449,28.0,45.0,2.0,768.6,0.3546838038164328,1.0,1537.2,Silver,Low Risk,0.3118935325785253
12450,75.0,34.0,3.0,490.32,0.3694212269358145,1.0,1470.96,Silver,Low Risk,0.3357474421749091
12451,66.0,98.0,3.0,3634.36,0.3007885191610156,0.0,10903.08,Gold,High Risk,0.2217609725717943
12454,25.0,30.0,4.0,13151.44,0.3766519476423277,0.0,52605.76,Platinum,Low Risk,0.3463582253118455
12455,276.0,80.0,4.0,3413.09,0.3230326446932661,0.0,13652.36,Platinum,Low Risk,0.2537495037402867
12457,0.0,70.0,1.0,632.6800000000001,0.3249329758713137,1.0,632.6800000000001,Silver,Low Risk,0.2639535970214693
12458,60.0,62.0,2.0,830.09,0.3364532408137518,1.0,1660.18,Silver,Low Risk,0.2805280372468547
12459,0.0,240.0,1.0,454.36,0.142627345844504,1.0,454.36,Silver,High Risk,0.0508563994566193
12460,0.0,91.0,1.0,326.65,0.3024128686327078,1.0,326.65,Silver,High Risk,0.2286338577866584
12466,0.0,317.0,1.0,56.73,0.060053619302949,1.0,56.73,Bronze,High Risk,0.0090160929784588
12467,0.0,58.0,1.0,132.8,0.3378016085790885,1.0,132.8,Bronze,Low Risk,0.2852748168965492
12468,156.0,161.0,3.0,2941.2,0.2332281974451979,0.0,8823.599999999999,Gold,High Risk,0.1325586537758229
12469,14.0,157.0,2.0,3070.54,0.2345765652105346,0.0,6141.08,Gold,High Risk,0.1358405846795589
12470,0.0,324.0,1.0,211.95,0.0525469168900804,1.0,211.95,Bronze,High Risk,0.0069029461866325
12471,358.0,9.0,49.0,20139.74,0.5315249960574042,0.0,986847.26,Platinum,Low Risk,0.5186999961525338
12472,356.0,4.0,13.0,11308.48,0.4310045734111339,0.0,147010.24,Platinum,Low Risk,0.4263825404523014
12474,288.0,13.0,13.0,5048.66,0.4213530988803028,0.0,65632.58,Platinum,Low Risk,0.406667870233
12475,0.0,44.0,1.0,426.26,0.3528150134048258,1.0,426.26,Silver,Low Risk,0.3111960842096185
12476,105.0,31.0,12.0,7298.99,0.3991089733480523,0.0,87587.88,Platinum,Low Risk,0.3659390586730131
12477,223.0,34.0,3.0,7056.63,0.3694212269358145,0.0,21169.89,Platinum,Low Risk,0.3357474421749091
12480,108.0,34.0,3.0,2183.2200000000003,0.3694212269358145,1.0,6549.660000000001,Gold,Low Risk,0.3357474421749091
12481,241.0,0.0,6.0,6765.07,0.4147058823529412,0.0,40590.42,Platinum,Low Risk,0.4147058823529412
12482,77.0,211.0,29.0,23691.4,0.2560794827314303,0.0,687050.6000000001,Platinum,High Risk,0.111219507245286
12483,298.0,13.0,11.0,2635.6,0.4154707459391263,0.0,28991.6,Platinum,Low Risk,0.4009905322736876
12484,197.0,118.0,6.0,1828.43,0.2881643273931557,1.0,10970.58,Gold,High Risk,0.197002422212479
12485,0.0,164.0,1.0,708.1,0.2241286863270777,1.0,708.1,Silver,High Risk,0.1255841700867539
12486,0.0,66.0,1.0,1037.28,0.3292225201072386,1.0,1037.28,Silver,Low Risk,0.2709686693644028
12487,0.0,365.0,1.0,285.3,0.0085790884718498,1.0,285.3,Bronze,High Risk,0.0001840018975195
12490,360.0,13.0,11.0,4405.71,0.4154707459391263,0.0,48462.81,Platinum,Low Risk,0.4009905322736876
12492,0.0,38.0,1.0,452.0,0.3592493297587131,1.0,452.0,Silver,Low Risk,0.3226502023302115
12494,210.0,0.0,3.0,626.77,0.4058823529411764,1.0,1880.31,Gold,Low Risk,0.4058823529411764
12495,0.0,275.0,1.0,357.4,0.1050938337801608,1.0,357.4,Silver,High Risk,0.0276117847465301
12496,0.0,255.0,2.0,54.09,0.1294827314303737,1.0,108.18,Bronze,High Risk,0.0409623654390994
12497,244.0,35.0,2.0,5205.400000000001,0.365407664406245,0.0,10410.8,Gold,Low Risk,0.3311200819552569
12499,0.0,195.0,1.0,393.72,0.1908847184986595,1.0,393.72,Silver,High Risk,0.0910924393907812
12500,238.0,70.0,8.0,1697.39,0.3455212111654313,0.0,13579.12,Platinum,Low Risk,0.2806780884266104
12503,0.0,219.0,1.0,1126.0,0.1651474530831099,1.0,1126.0,Silver,High Risk,0.0681842031495949
12504,179.0,52.0,2.0,297.0,0.3471771014035641,1.0,594.0,Silver,Low Risk,0.2987770765430136
12505,0.0,43.0,1.0,955.2,0.353887399463807,1.0,955.2,Silver,Low Risk,0.3130907287481402
12507,0.0,219.0,1.0,539.25,0.1651474530831099,1.0,539.25,Silver,High Risk,0.0681842031495949
12510,276.0,94.0,7.0,4195.45,0.3168427692792935,0.0,29368.15,Platinum,High Risk,0.2369949936432249
12511,0.0,63.0,1.0,3084.02,0.3324396782841823,0.0,3084.02,Gold,Low Risk,0.2762903492442266
12514,0.0,276.0,1.0,580.08,0.1040214477211796,1.0,580.08,Silver,High Risk,0.0270511539650252
12516,168.0,65.0,2.0,1336.56,0.3332360826368081,1.0,2673.12,Gold,Low Risk,0.275165451614308
12519,0.0,111.0,1.0,385.7000000000001,0.2809651474530831,1.0,385.7000000000001,Silver,High Risk,0.1973535352083318
12523,357.0,9.0,12.0,2582.38,0.4227014666456395,0.0,30988.56,Platinum,Low Risk,0.4125022355469511
12524,280.0,23.0,9.0,6640.39,0.3988645324081376,0.0,59763.51,Platinum,Low Risk,0.3742696684794856
12525,149.0,133.0,3.0,973.73,0.2632550070966724,1.0,2921.19,Gold,High Risk,0.1693865997404862
12527,34.0,129.0,2.0,386.8,0.2646033748620091,1.0,773.6,Silver,High Risk,0.1730917519204563
12529,0.0,163.0,1.0,316.48,0.2252010723860589,1.0,316.48,Silver,High Risk,0.1267888075095773
12530,227.0,50.0,5.0,2096.98,0.3581454029332913,1.0,10484.9,Gold,Low Risk,0.3101366357840565
12531,0.0,321.0,1.0,1807.98,0.0557640750670241,1.0,1807.98,Gold,High Risk,0.0077740801702017
12533,110.0,262.0,2.0,1367.89,0.1219760290175051,1.0,2735.78,Gold,High Risk,0.0362984965708929
12537,0.0,43.0,1.0,732.94,0.353887399463807,1.0,732.94,Silver,Low Risk,0.3130907287481402
12538,0.0,13.0,1.0,276.5,0.386058981233244,1.0,276.5,Bronze,Low Risk,0.3726038424771256
12539,265.0,85.0,3.0,5646.400000000001,0.3147295379277716,0.0,16939.2,Platinum,Low Risk,0.2430083295528102
12540,353.0,13.0,16.0,8854.25,0.4301766282920675,0.0,141668.0,Platinum,Low Risk,0.4151838771719686
12542,156.0,119.0,2.0,481.88,0.2753272354518215,1.0,963.76,Silver,High Risk,0.1874882514872993
12543,0.0,83.0,1.0,980.25,0.3109919571045576,1.0,980.25,Silver,Low Risk,0.2417899934593075
12547,0.0,135.0,1.0,175.78,0.2552278820375335,1.0,175.78,Bronze,High Risk,0.1628531794234128
12549,121.0,210.0,6.0,1575.68,0.1895048099668821,1.0,9454.08,Gold,High Risk,0.0828130938997366
12553,37.0,20.0,2.0,916.47,0.3814934552909635,1.0,1832.94,Gold,Low Risk,0.361038042138633
12554,0.0,83.0,1.0,468.5,0.3109919571045576,1.0,468.5,Silver,Low Risk,0.2417899934593075
12555,0.0,317.0,1.0,129.23,0.060053619302949,1.0,129.23,Bronze,High Risk,0.0090160929784588
12557,351.0,6.0,4.0,6725.18,0.4023892130578773,0.0,26900.72,Platinum,Low Risk,0.3959164643223618
12562,49.0,20.0,2.0,1185.18,0.3814934552909635,1.0,2370.36,Gold,Low Risk,0.361038042138633
12563,0.0,43.0,1.0,249.24,0.353887399463807,1.0,249.24,Bronze,Low Risk,0.3130907287481402
12567,299.0,2.0,7.0,4308.58,0.4155022867055669,0.0,30160.06,Platinum,Low Risk,0.4132743924068775
12568,0.0,279.0,1.0,70.0,0.1008042895442359,1.0,70.0,Bronze,High Risk,0.0254037619762953
12570,0.0,317.0,1.0,77.52,0.060053619302949,1.0,77.52,Bronze,High Risk,0.0090160929784588
12573,83.0,16.0,4.0,556.87,0.391665352468065,1.0,2227.48,Gold,Low Risk,0.374864693917156
12575,69.0,92.0,2.0,622.82,0.3042816590443148,1.0,1245.64,Silver,High Risk,0.2292309549368699
12576,133.0,27.0,3.0,826.89,0.3769279293486831,1.0,2480.67,Gold,Low Risk,0.3496436020231752
12577,354.0,16.0,5.0,995.95,0.3946065289386532,1.0,4979.75,Gold,Low Risk,0.3776797073219817
12578,58.0,20.0,2.0,1847.94,0.3814934552909635,1.0,3695.88,Gold,Low Risk,0.361038042138633
12580,0.0,211.0,1.0,637.2,0.1737265415549597,1.0,637.2,Silver,High Risk,0.0754522781016178
12582,155.0,57.0,2.0,1469.04,0.3418151711086579,1.0,2938.08,Gold,Low Risk,0.2895806811537155
12583,359.0,8.0,13.0,7166.06,0.426715029175209,0.0,93158.78,Platinum,Low Risk,0.4175629642063037
12586,348.0,9.0,3.0,1865.73,0.3962308784103454,1.0,5597.1900000000005,Gold,Low Risk,0.3866703478320796
12588,198.0,34.0,3.0,743.88,0.3694212269358145,1.0,2231.64,Gold,Low Risk,0.3357474421749091
12589,267.0,56.0,6.0,4048.98,0.3546522630499921,0.0,24293.88,Platinum,Low Risk,0.3014068830746582
12591,18.0,25.0,2.0,899.3,0.3761315249960574,1.0,1798.6,Gold,Low Risk,0.3509216372617372
12592,0.0,154.0,3.0,2145.06,0.2407348998580665,1.0,6435.18,Gold,High Risk,0.1413430109086235
12594,267.0,13.0,5.0,1751.89,0.3978236871155969,1.0,8759.45,Gold,Low Risk,0.3839585183957503
12595,0.0,139.0,1.0,299.02,0.2509383378016085,1.0,299.02,Silver,High Risk,0.1574251234465855
12598,185.0,98.0,3.0,1511.01,0.3007885191610156,1.0,4533.03,Gold,High Risk,0.2217609725717943
12599,196.0,16.0,6.0,1264.14,0.3975477054092414,1.0,7584.84,Gold,Low Risk,0.3804947207268074
12600,360.0,6.0,12.0,2444.88,0.4259186248225832,0.0,29338.56,Platinum,Low Risk,0.4190673868897802
12601,0.0,39.0,1.0,104.2,0.3581769436997319,1.0,104.2,Bronze,Low Risk,0.3207268074952023
12605,81.0,11.0,4.0,1232.95,0.3970272827629711,1.0,4931.8,Gold,Low Risk,0.3853187033785403
12606,0.0,317.0,1.0,21.0,0.060053619302949,1.0,21.0,Bronze,High Risk,0.0090160929784588
12608,0.0,39.0,1.0,415.79,0.3581769436997319,1.0,415.79,Silver,Low Risk,0.3207268074952023
12609,345.0,9.0,6.0,2309.01,0.4050544078221101,1.0,13854.06,Platinum,Low Risk,0.3952809770703702
12613,337.0,23.0,5.0,3490.69,0.3870998265257846,0.0,17453.45,Platinum,Low Risk,0.363230400225267
12615,217.0,48.0,4.0,3449.79,0.3573489985806655,0.0,13799.16,Platinum,Low Risk,0.3113630684684083
12616,0.0,23.0,1.0,417.8,0.3753351206434316,1.0,417.8,Silver,Low Risk,0.3521911319710484
12619,0.0,195.0,1.0,140.14,0.1908847184986595,1.0,140.14,Bronze,High Risk,0.0910924393907812
12621,302.0,0.0,16.0,11086.14,0.4441176470588235,0.0,177378.24,Platinum,Low Risk,0.4441176470588235
12623,279.0,51.0,6.0,3442.74,0.3600141933448983,0.0,20656.44,Platinum,Low Risk,0.3107897325926468
12625,87.0,144.0,2.0,2481.06,0.2485175839772906,0.0,4962.12,Gold,High Risk,0.1525751386884706
12629,37.0,20.0,2.0,1558.22,0.3814934552909635,1.0,3116.44,Gold,Low Risk,0.361038042138633
12631,237.0,91.0,5.0,2841.07,0.3141775745150608,1.0,14205.35,Platinum,High Risk,0.2375283539229146
12632,44.0,155.0,2.0,804.88,0.236721337328497,1.0,1609.76,Silver,High Risk,0.1383518807978883
12633,143.0,17.0,3.0,3514.18,0.3876517899384955,0.0,10542.54,Gold,Low Risk,0.369984013989556
12634,12.0,170.0,2.0,490.0,0.2206355464437785,1.0,980.0,Silver,High Risk,0.1200777906919223
12635,64.0,27.0,2.0,1241.23,0.3739867528780949,1.0,2482.46,Gold,Low Risk,0.3469153257260612
12636,0.0,373.0,1.0,141.0,0.0,1.0,141.0,Bronze,High Risk,0.0
12637,165.0,13.0,4.0,2318.41,0.3948825106450087,1.0,9273.64,Gold,Low Risk,0.3811198494160941
12638,0.0,274.0,1.0,249.8,0.106166219839142,1.0,249.8,Bronze,High Risk,0.0281781655873325
12639,193.0,69.0,2.0,826.27,0.3289465384008831,1.0,1652.54,Silver,Low Risk,0.2680958382677438
12643,225.0,20.0,6.0,5005.78,0.3932581611733165,0.0,30034.68,Platinum,Low Risk,0.3721719326921735
12644,263.0,65.0,3.0,1440.58,0.3361772591073963,1.0,4321.74,Gold,Low Risk,0.2775940906302361
12645,259.0,44.0,4.0,1764.12,0.3616385428165905,1.0,7056.48,Gold,Low Risk,0.3189787683288426
12647,327.0,2.0,27.0,14201.53,0.4743258161173316,0.0,383441.31,Platinum,Low Risk,0.471782514154236
12648,263.0,72.0,3.0,793.95,0.3286705566945276,1.0,2381.8500000000004,Gold,Low Risk,0.2652274465551013
12649,313.0,17.0,5.0,1671.14,0.393534142879672,1.0,8355.7,Gold,Low Risk,0.3755982704159872
12651,86.0,13.0,3.0,263.75,0.3919413341744204,1.0,791.25,Silver,Low Risk,0.3782811804364379
12652,0.0,69.0,1.0,97.05,0.3260053619302949,1.0,97.05,Bronze,Low Risk,0.2656987400182564
12653,0.0,161.0,1.0,1950.98,0.2273458445040214,1.0,1950.98,Gold,High Risk,0.1292153325331167
12655,0.0,58.0,1.0,261.35,0.3378016085790885,1.0,261.35,Bronze,Low Risk,0.2852748168965492
12656,137.0,60.0,3.0,2356.66,0.3415391894023025,1.0,7069.98,Gold,Low Risk,0.2865999096056855
12661,0.0,71.0,1.0,162.0,0.3238605898123324,1.0,162.0,Bronze,Low Risk,0.2622142040839795
12662,244.0,8.0,10.0,3138.24,0.4178914997634443,0.0,31382.4,Platinum,Low Risk,0.4089286793931828
12663,43.0,259.0,2.0,239.4,0.1251931871944488,1.0,478.8,Silver,High Risk,0.0382627971586251
12664,212.0,149.0,2.0,1188.16,0.2431556536823844,1.0,2376.32,Gold,High Risk,0.1460237705760163
12665,251.0,52.0,2.0,250.6,0.3471771014035641,1.0,501.2,Silver,Low Risk,0.2987770765430136
12666,0.0,29.0,1.0,1248.42,0.3689008042895442,1.0,1248.42,Silver,Low Risk,0.3402195085136815
12668,298.0,13.0,6.0,7637.53,0.4007648635861852,0.0,45825.18,Platinum,Low Risk,0.3867971873754066
12670,280.0,20.0,2.0,764.24,0.3814934552909635,1.0,1528.48,Silver,Low Risk,0.361038042138633
12671,0.0,241.0,1.0,2622.481,0.1415549597855228,1.0,2622.481,Gold,High Risk,0.0500945165997024
12672,0.0,230.0,1.0,211.15,0.1533512064343163,1.0,211.15,Bronze,High Risk,0.0587914812871507
12673,0.0,36.0,1.0,619.5,0.3613941018766756,1.0,619.5,Silver,Low Risk,0.3265142421781224
12675,24.0,188.0,2.0,958.5,0.2013325973821164,1.0,1917.0,Gold,High Risk,0.0998566501761167
12676,74.0,43.0,5.0,1511.7,0.3656521053461599,1.0,7558.5,Gold,Low Risk,0.3234991816735463
12677,111.0,190.0,2.0,395.1,0.1991878252641539,1.0,790.2,Silver,High Risk,0.0977248579714213
12678,325.0,10.0,9.0,16652.72,0.4128055511748936,0.0,149874.48,Platinum,Low Risk,0.4017383782211431
12681,358.0,2.0,24.0,17080.74,0.4655022867055669,0.0,409937.76,Platinum,Low Risk,0.4630062958921322
12682,373.0,0.0,23.0,11745.69,0.4647058823529412,0.0,270150.87,Platinum,Low Risk,0.4647058823529412
12683,360.0,0.0,8.0,4220.21,0.4205882352941176,0.0,33761.68,Platinum,Low Risk,0.4205882352941176
12686,0.0,6.0,1.0,89.14,0.3935656836461126,1.0,89.14,Bronze,Low Risk,0.38723486835958
12687,0.0,115.0,2.0,2138.91,0.2796167796877464,1.0,4277.82,Gold,High Risk,0.1934078529743661
12691,0.0,55.0,1.0,134.6,0.3410187667560322,1.0,134.6,Bronze,Low Risk,0.2907344981995127
12692,0.0,272.0,1.0,110.95,0.1083109919571045,1.0,110.95,Bronze,High Risk,0.0293281774468299
12693,126.0,31.0,3.0,847.11,0.3726383851127582,1.0,2541.33,Gold,Low Risk,0.3416684388969525
12694,0.0,56.0,1.0,973.68,0.3399463806970509,1.0,973.68,Silver,Low Risk,0.2889088543725607
12695,137.0,163.0,3.0,825.02,0.2310834253272354,1.0,2475.06,Gold,High Risk,0.1301005879858429
12696,74.0,69.0,2.0,851.91,0.3289465384008831,1.0,1703.82,Gold,Low Risk,0.2680958382677438
12698,0.0,225.0,1.0,339.75,0.1587131367292225,1.0,339.75,Silver,High Risk,0.0629746494260722
12699,0.0,52.0,1.0,638.11,0.3442359249329759,1.0,638.11,Silver,Low Risk,0.2962459300361535
12701,104.0,164.0,4.0,1648.7,0.2329522157388424,1.0,6594.8,Gold,High Risk,0.1305281852263218
12703,51.0,268.0,3.0,722.98,0.1184828891342059,1.0,2168.94,Gold,High Risk,0.0333530921155271
12705,150.0,18.0,5.0,4893.81,0.3924617568206908,0.0,24469.050000000003,Platinum,Low Risk,0.3735225835692901
12708,353.0,3.0,9.0,2601.19,0.4203122535877622,0.0,23410.71,Platinum,Low Risk,0.4169317260790134
12709,363.0,1.0,20.0,21356.82,0.4548099668821952,0.0,427136.4,Platinum,Low Risk,0.4535906372122698
12711,65.0,246.0,2.0,1339.05,0.1391342059612048,1.0,2678.1,Gold,High Risk,0.0473727725390697
12712,365.0,0.0,10.0,2797.53,0.4264705882352941,0.0,27975.300000000003,Platinum,Low Risk,0.4264705882352941
12714,347.0,23.0,7.0,9384.85,0.392982179466961,0.0,65693.95,Platinum,Low Risk,0.3687500343523762
12717,0.0,225.0,1.0,277.93,0.1587131367292225,1.0,277.93,Bronze,High Risk,0.0629746494260722
12720,137.0,4.0,6.0,2478.94,0.4104163381170163,1.0,14873.64,Platinum,Low Risk,0.4060150905232681
12721,86.0,20.0,2.0,1356.95,0.3814934552909635,1.0,2713.9,Gold,Low Risk,0.361038042138633
12724,151.0,18.0,3.0,1286.11,0.3865794038795143,1.0,3858.33,Gold,Low Risk,0.3679240975260792
12725,213.0,6.0,4.0,2266.76,0.4023892130578773,1.0,9067.04,Gold,Low Risk,0.3959164643223618
12726,237.0,22.0,4.0,1405.5,0.3852310361141776,1.0,5622.0,Gold,Low Risk,0.3625096345203119
12727,212.0,77.0,3.0,1698.8300000000002,0.3233086263996215,1.0,5096.490000000001,Gold,Low Risk,0.2565666311375012
12728,0.0,18.0,1.0,233.84,0.3806970509383378,1.0,233.84,Bronze,Low Risk,0.3623256114828684
12730,0.0,156.0,1.0,829.25,0.2327077747989276,1.0,829.25,Silver,High Risk,0.135382271129671
12731,205.0,77.0,5.0,6879.8,0.329190979340798,0.0,34399.0,Platinum,Low Risk,0.2612346645707137
12733,300.0,24.0,3.0,2040.92,0.3801450875256268,1.0,6122.76,Gold,Low Risk,0.3556853499904658
12734,17.0,9.0,2.0,529.25,0.3932897019397571,1.0,1058.5,Silver,Low Risk,0.3838001380859828
12737,0.0,133.0,2.0,3710.5,0.2603138306260842,0.0,7421.0,Gold,High Risk,0.1674941537540488
12738,0.0,7.0,1.0,155.35,0.3924932975871313,1.0,155.35,Bronze,Low Risk,0.3851274716270511
12739,8.0,20.0,2.0,1713.69,0.3814934552909635,1.0,3427.38,Gold,Low Risk,0.361038042138633
12741,3.0,164.0,2.0,406.07,0.2270698627976659,1.0,812.14,Silver,High Risk,0.1272321751332766
12742,0.0,260.0,1.0,1201.52,0.1211796246648793,1.0,1201.52,Silver,High Risk,0.0367112535848025
