Customer ID,L,R,F,M,S,cluster
12417,323,45,11,3167.81,0.3811543920517269,0
12418,216,48,3,1352.62,0.3544078221100772,1
12419,27,20,2,503.01,0.3814934552909635,1
12421,90,50,2,291.56,0.3493218735215266,1
12422,327,29,14,4428.24,0.4071360984071913,0
12423,78,22,2,763.08,0.3793486831730011,1
12424,125,57,2,1579.07,0.3418151711086579,1
12425,0,83,1,964.21,0.3109919571045576,1
12426,0,297,1,762.48,0.0815013404825737,1
12427,0,6,1,303.5,0.3935656836461126,1
12429,180,0,5,3735.51,0.411764705882353,0
12431,320,8,13,4370.52,0.426715029175209,0
12433,110,1,5,7205.39,0.4106923198233717,0
12434,0,16,1,297.29,0.3828418230563002,1
12435,340,31,4,6096.04,0.3755795615833465,0
12437,341,30,21,7731.99,0.4266519476423277,0
12439,43,317,2,1158.18,0.0629947957735373,1
12440,255,97,2,859.2,0.2989197287494086,1
12441,0,1,1,173.55,0.3989276139410188,1
12443,0,367,1,485.31,0.0064343163538874,1
12445,0,55,1,301.58000000000004,0.3410187667560322,1
12449,28,45,2,768.6,0.3546838038164328,1
12450,75,34,3,490.32,0.3694212269358145,1
12451,66,98,3,3634.36,0.3007885191610156,0
12454,25,30,4,13151.44,0.3766519476423277,0
12455,276,80,4,3413.09,0.3230326446932661,0
12457,0,70,1,632.6800000000001,0.3249329758713137,1
12458,60,62,2,830.09,0.3364532408137518,1
12459,0,240,1,454.36,0.142627345844504,1
12460,0,91,1,326.65,0.3024128686327078,1
12466,0,317,1,56.73,0.060053619302949,1
12467,0,58,1,132.8,0.3378016085790885,1
12468,156,161,3,2941.2,0.2332281974451979,0
12469,14,157,2,3070.54,0.2345765652105346,0
12470,0,324,1,211.95,0.0525469168900804,1
12471,358,9,49,20139.74,0.5315249960574042,0
12472,356,4,13,11308.48,0.4310045734111339,0
12474,288,13,13,5048.66,0.4213530988803028,0
12475,0,44,1,426.26,0.3528150134048258,1
12476,105,31,12,7298.99,0.3991089733480523,0
12477,223,34,3,7056.63,0.3694212269358145,0
12480,108,34,3,2183.2200000000003,0.3694212269358145,1
12481,241,0,6,6765.07,0.4147058823529412,0
12482,77,211,29,23691.4,0.2560794827314303,0
12483,298,13,11,2635.6,0.4154707459391263,0
12484,197,118,6,1828.43,0.2881643273931557,1
12485,0,164,1,708.1,0.2241286863270777,1
12486,0,66,1,1037.28,0.3292225201072386,1
12487,0,365,1,285.3,0.0085790884718498,1
12490,360,13,11,4405.71,0.4154707459391263,0
12492,0,38,1,452.0,0.3592493297587131,1
12494,210,0,3,626.77,0.4058823529411764,1
12495,0,275,1,357.4,0.1050938337801608,1
12496,0,255,2,54.09,0.1294827314303737,1
12497,244,35,2,5205.400000000001,0.365407664406245,0
12499,0,195,1,393.72,0.1908847184986595,1
12500,238,70,8,1697.39,0.3455212111654313,0
12503,0,219,1,1126.0,0.1651474530831099,1
12504,179,52,2,297.0,0.3471771014035641,1
12505,0,43,1,955.2,0.353887399463807,1
12507,0,219,1,539.25,0.1651474530831099,1
12510,276,94,7,4195.45,0.3168427692792935,0
12511,0,63,1,3084.02,0.3324396782841823,0
12514,0,276,1,580.08,0.1040214477211796,1
12516,168,65,2,1336.56,0.3332360826368081,1
12519,0,111,1,385.7000000000001,0.2809651474530831,1
12523,357,9,12,2582.38,0.4227014666456395,0
12524,280,23,9,6640.39,0.3988645324081376,0
12525,149,133,3,973.73,0.2632550070966724,1
12527,34,129,2,386.8,0.2646033748620091,1
12529,0,163,1,316.48,0.2252010723860589,1
12530,227,50,5,2096.98,0.3581454029332913,1
12531,0,321,1,1807.98,0.0557640750670241,1
12533,110,262,2,1367.89,0.1219760290175051,1
12537,0,43,1,732.94,0.353887399463807,1
12538,0,13,1,276.5,0.386058981233244,1
12539,265,85,3,5646.400000000001,0.3147295379277716,0
12540,353,13,16,8854.25,0.4301766282920675,0
12542,156,119,2,481.88,0.2753272354518215,1
12543,0,83,1,980.25,0.3109919571045576,1
12547,0,135,1,175.78,0.2552278820375335,1
12549,121,210,6,1575.68,0.1895048099668821,1
12553,37,20,2,916.47,0.3814934552909635,1
12554,0,83,1,468.5,0.3109919571045576,1
12555,0,317,1,129.23,0.060053619302949,1
12557,351,6,4,6725.18,0.4023892130578773,0
12562,49,20,2,1185.18,0.3814934552909635,1
12563,0,43,1,249.24,0.353887399463807,1
12567,299,2,7,4308.58,0.4155022867055669,0
12568,0,279,1,70.0,0.1008042895442359,1
12570,0,317,1,77.52,0.060053619302949,1
12573,83,16,4,556.87,0.391665352468065,1
12575,69,92,2,622.82,0.3042816590443148,1
12576,133,27,3,826.89,0.3769279293486831,1
12577,354,16,5,995.95,0.3946065289386532,1
12578,58,20,2,1847.94,0.3814934552909635,1
12580,0,211,1,637.2,0.1737265415549597,1
12582,155,57,2,1469.04,0.3418151711086579,1
12583,359,8,13,7166.06,0.426715029175209,0
12586,348,9,3,1865.73,0.3962308784103454,1
12588,198,34,3,743.88,0.3694212269358145,1
12589,267,56,6,4048.98,0.3546522630499921,0
12591,18,25,2,899.3,0.3761315249960574,1
12592,0,154,3,2145.06,0.2407348998580665,1
12594,267,13,5,1751.89,0.3978236871155969,1
12595,0,139,1,299.02,0.2509383378016085,1
12598,185,98,3,1511.01,0.3007885191610156,1
12599,196,16,6,1264.14,0.3975477054092414,1
12600,360,6,12,2444.88,0.4259186248225832,0
12601,0,39,1,104.2,0.3581769436997319,1
12605,81,11,4,1232.95,0.3970272827629711,1
12606,0,317,1,21.0,0.060053619302949,1
12608,0,39,1,415.79,0.3581769436997319,1
12609,345,9,6,2309.01,0.4050544078221101,1
12613,337,23,5,3490.69,0.3870998265257846,0
12615,217,48,4,3449.79,0.3573489985806655,0
12616,0,23,1,417.8,0.3753351206434316,1
12619,0,195,1,140.14,0.1908847184986595,1
12621,302,0,16,11086.14,0.4441176470588235,0
12623,279,51,6,3442.74,0.3600141933448983,0
12625,87,144,2,2481.06,0.2485175839772906,0
12629,37,20,2,1558.22,0.3814934552909635,1
12631,237,91,5,2841.07,0.3141775745150608,1
12632,44,155,2,804.88,0.236721337328497,1
12633,143,17,3,3514.18,0.3876517899384955,0
12634,12,170,2,490.0,0.2206355464437785,1
12635,64,27,2,1241.23,0.3739867528780949,1
12636,0,373,1,141.0,0.0,1
12637,165,13,4,2318.41,0.3948825106450087,1
12638,0,274,1,249.8,0.106166219839142,1
12639,193,69,2,826.27,0.3289465384008831,1
12643,225,20,6,5005.78,0.3932581611733165,0
12644,263,65,3,1440.58,0.3361772591073963,1
12645,259,44,4,1764.12,0.3616385428165905,1
12647,327,2,27,14201.53,0.4743258161173316,0
12648,263,72,3,793.95,0.3286705566945276,1
12649,313,17,5,1671.14,0.393534142879672,1
12651,86,13,3,263.75,0.3919413341744204,1
12652,0,69,1,97.05,0.3260053619302949,1
12653,0,161,1,1950.98,0.2273458445040214,1
12655,0,58,1,261.35,0.3378016085790885,1
12656,137,60,3,2356.66,0.3415391894023025,1
12661,0,71,1,162.0,0.3238605898123324,1
12662,244,8,10,3138.24,0.4178914997634443,0
12663,43,259,2,239.4,0.1251931871944488,1
12664,212,149,2,1188.16,0.2431556536823844,1
12665,251,52,2,250.6,0.3471771014035641,1
12666,0,29,1,1248.42,0.3689008042895442,1
12668,298,13,6,7637.53,0.4007648635861852,0
12670,280,20,2,764.24,0.3814934552909635,1
12671,0,241,1,2622.481,0.1415549597855228,1
12672,0,230,1,211.15,0.1533512064343163,1
12673,0,36,1,619.5,0.3613941018766756,1
12675,24,188,2,958.5,0.2013325973821164,1
12676,74,43,5,1511.7,0.3656521053461599,1
12677,111,190,2,395.1,0.1991878252641539,1
12678,325,10,9,16652.72,0.4128055511748936,0
12681,358,2,24,17080.74,0.4655022867055669,0
12682,373,0,23,11745.69,0.4647058823529412,0
12683,360,0,8,4220.21,0.4205882352941176,0
12686,0,6,1,89.14,0.3935656836461126,1
12687,0,115,2,2138.91,0.2796167796877464,1
12691,0,55,1,134.6,0.3410187667560322,1
12692,0,272,1,110.95,0.1083109919571045,1
12693,126,31,3,847.11,0.3726383851127582,1
12694,0,56,1,973.68,0.3399463806970509,1
12695,137,163,3,825.02,0.2310834253272354,1
12696,74,69,2,851.91,0.3289465384008831,1
12698,0,225,1,339.75,0.1587131367292225,1
12699,0,52,1,638.11,0.3442359249329759,1
12701,104,164,4,1648.7,0.2329522157388424,1
12703,51,268,3,722.98,0.1184828891342059,1
12705,150,18,5,4893.81,0.3924617568206908,0
12708,353,3,9,2601.19,0.4203122535877622,0
12709,363,1,20,21356.82,0.4548099668821952,0
12711,65,246,2,1339.05,0.1391342059612048,1
12712,365,0,10,2797.53,0.4264705882352941,0
12714,347,23,7,9384.85,0.392982179466961,0
12717,0,225,1,277.93,0.1587131367292225,1
12720,137,4,6,2478.94,0.4104163381170163,1
12721,86,20,2,1356.95,0.3814934552909635,1
12724,151,18,3,1286.11,0.3865794038795143,1
12725,213,6,4,2266.76,0.4023892130578773,1
12726,237,22,4,1405.5,0.3852310361141776,1
12727,212,77,3,1698.8300000000002,0.3233086263996215,1
12728,0,18,1,233.84,0.3806970509383378,1
12730,0,156,1,829.25,0.2327077747989276,1
12731,205,77,5,6879.8,0.329190979340798,0
12733,300,24,3,2040.92,0.3801450875256268,1
12734,17,9,2,529.25,0.3932897019397571,1
12737,0,133,2,3710.5,0.2603138306260842,0
12738,0,7,1,155.35,0.3924932975871313,1
12739,8,20,2,1713.69,0.3814934552909635,1
12741,3,164,2,406.07,0.2270698627976659,1
12742,0,260,1,1201.52,0.1211796246648793,1
12744,131,94,4,4037.77,0.3080192398675288,0
12745,195,121,3,925.41,0.2761236398044472,1
12746,0,175,1,254.55,0.2123324396782841,1
12747,363,4,16,5080.53,0.4398281028228986,0
12748,369,0,144,22879.66,0.8205882352941176,0
12749,121,34,4,2806.48,0.3723624034064028,1
12751,0,79,1,268.27,0.3152815013404826,1
12755,327,0,10,5218.71,0.4264705882352941,0
12758,278,94,5,7111.650000000001,0.310960416338117,0
12759,349,21,5,3489.3,0.389244598643747,0
12760,0,90,1,347.8,0.3034852546916891,1
12761,7,92,2,782.95,0.3042816590443148,1
12763,0,4,1,320.08,0.3957104557640751,1
12765,169,107,6,1404.58,0.2999605740419492,1
12766,41,1,3,3078.65,0.4048099668821952,0
12767,0,10,1,949.82,0.3892761394101877,1
12768,0,85,1,168.69,0.3088471849865952,1
12770,0,91,1,1895.0,0.3024128686327078,1
12771,0,120,1,282.3,0.271313672922252,1
12773,0,199,1,124.25,0.1865951742627346,1
12774,0,170,1,98.7,0.2176943699731903,1
12775,21,23,2,300.08000000000004,0.3782762971140199,1
12776,0,302,1,55.5,0.0761394101876675,1
12777,0,92,1,519.45,0.3013404825737266,1
12778,206,31,3,953.45,0.3726383851127582,1
12779,365,6,7,2740.91,0.411212742469642,1
12780,0,233,1,337.4,0.1501340482573726,1
12782,144,9,6,2287.32,0.4050544078221101,1
12784,0,164,1,1230.33,0.2241286863270777,1
12785,195,170,2,788.45,0.2206355464437785,1
12786,0,244,1,728.5000000000001,0.1383378016085791,1
12787,0,48,1,398.52,0.3485254691689008,1
12788,65,98,4,444.9,0.3037296956316039,1
12789,181,147,2,181.5,0.2453004258003469,1
12790,0,45,1,266.93,0.3517426273458445,1
12791,250,8,6,863.51,0.4061267938810913,1
12792,0,169,1,426.47,0.2187667560321715,1
12793,30,6,2,471.85,0.3965068601167008,1
12796,0,263,1,381.0,0.1179624664879356,1
12797,58,0,2,552.08,0.4029411764705882,1
12798,0,56,1,1533.89,0.3399463806970509,1
12799,0,164,1,219.35,0.2241286863270777,1
12800,206,105,3,584.25,0.2932818167481469,1
12801,0,135,1,1071.82,0.2552278820375335,1
12802,121,77,6,1988.84,0.3321321558113862,1
12803,0,28,1,1092.81,0.3699731903485255,1
12804,34,100,2,327.02,0.2957025705724649,1
12805,293,16,4,1434.95,0.391665352468065,1
12806,153,70,4,2878.96,0.3337565052830784,0
12807,0,18,1,330.35,0.3806970509383378,1
12808,94,3,3,422.45,0.4026651947642328,1
12809,81,200,2,1266.63,0.1884639646743415,1
12810,142,169,2,534.99,0.2217079325027597,1
12811,48,13,2,519.0500000000001,0.3890001577038322,1
12813,191,136,3,1687.8,0.2600378489197287,1
12817,34,34,2,524.94,0.3664800504652263,1
12819,0,93,1,540.52,0.3002680965147453,1
12820,337,32,7,1747.18,0.3833307049361299,1
12821,0,246,1,128.08,0.1361930294906166,1
12823,284,29,13,4742.0,0.404194921936603,0
12825,120,156,2,518.63,0.2356489512695158,1
12826,356,0,6,1481.03,0.4147058823529412,1
12829,0,185,1,92.3,0.2016085790884718,1
12831,0,98,2,236.06,0.2978473426904274,1
12835,308,62,41,6043.31,0.4511591231666929,0
12836,349,24,11,3972.76,0.4036744992903328,0
12837,0,204,1,554.31,0.1812332439678284,1
12838,219,8,9,2715.35,0.4149503232928561,0
12839,365,2,13,4480.31,0.4331493455290963,0
12840,237,72,3,1315.2,0.3286705566945276,1
12841,149,4,17,3518.33,0.4427692792934868,0
12842,333,39,2,799.0,0.3611181201703202,1
12843,344,17,22,4886.15,0.4435341428796719,0
12844,151,77,2,322.64,0.3203674499290332,1
12846,0,317,1,15.58,0.060053619302949,1
12847,0,22,1,765.36,0.3764075067024128,1
12848,0,310,1,208.0,0.0675603217158177,1
12849,209,16,4,2039.67,0.391665352468065,1
12850,0,80,1,330.0,0.3142091152815013,1
12851,0,112,1,148.95,0.2798927613941019,1
12853,245,62,5,1950.4,0.3452767702255165,1
12854,167,196,4,1669.52,0.198635861851443,1
12855,29,7,4,612.84,0.4013168269988961,1
12857,247,71,4,2581.6,0.3326841192240972,1
12858,0,18,1,177.92,0.3806970509383378,1
12859,0,93,1,575.1,0.3002680965147453,1
12860,0,328,1,55.47,0.0482573726541554,1
12861,0,254,1,68.25,0.1276139410187667,1
12862,69,60,2,1008.32,0.3385980129317142,1
12863,210,14,5,2271.35,0.3967513010566157,1
12864,0,143,1,152.45,0.2466487935656836,1
12865,98,13,2,1755.24,0.3890001577038322,1
12866,28,109,2,668.23,0.2860510960416338,1
12867,325,32,6,3876.47,0.3803895284655417,0
12868,19,8,3,640.0,0.3973032644693266,1
12869,0,316,1,337.67,0.0611260053619302,1
12870,248,10,3,1676.95,0.3951584923513641,1
12871,0,74,1,363.38,0.3206434316353888,1
12872,370,0,11,3085.52,0.4294117647058824,0
12873,284,32,2,1653.3,0.3686248225831887,1
12874,169,20,2,948.42,0.3814934552909635,1
12875,226,106,3,1013.76,0.2922094306891657,1
12876,195,29,2,1863.77,0.3718419807601325,1
12877,289,36,8,1419.4,0.3819823371707932,0
12880,192,16,2,640.13,0.3857829995268885,1
12887,0,18,1,222.4,0.3806970509383378,1
12889,121,16,4,385.46,0.391665352468065,1
12890,0,22,1,336.8,0.3764075067024128,1
12891,201,93,8,509.5,0.3208563318088629,0
12892,0,31,1,263.38,0.3667560321715817,1
12894,0,210,1,157.35,0.174798927613941,1
12897,162,16,2,297.75,0.3857829995268885,1
12898,195,98,2,310.96,0.2978473426904274,1
12899,0,48,1,366.4,0.3485254691689008,1
12900,0,57,1,340.33000000000004,0.3388739946380697,1
12903,0,63,1,833.5300000000001,0.3324396782841823,1
12905,105,211,2,1018.42,0.176667718025548,1
12907,98,30,2,508.91,0.3707695947011512,1
12908,249,15,3,1026.0,0.3897965620564579,1
12909,228,59,3,924.52,0.3426115754612837,1
12910,241,14,5,2721.48,0.3967513010566157,1
12911,0,186,1,1680.47,0.2005361930294906,1
12913,370,3,9,4217.23,0.4203122535877622,0
12914,0,35,1,223.98,0.3624664879356568,1
12915,216,7,3,811.1,0.3983756505283078,1
12916,242,77,3,1647.87,0.3233086263996215,1
12917,330,35,5,3765.2,0.3742311938180098,0
12918,0,261,1,10953.5,0.1201072386058981,0
12920,153,206,3,323.86,0.1849708247910424,1
12921,371,1,39,19333.95,0.5106923198233717,0
12923,184,25,2,612.9,0.3761315249960574,1
12924,337,28,8,1535.7,0.3905614256426431,1
12925,0,227,1,35.28,0.15656836461126,1
12926,314,46,4,1548.46,0.359493770698628,1
12927,0,29,1,197.31,0.3689008042895442,1
12928,171,13,7,2242.19,0.4037060400567734,1
12931,357,15,42,50291.38,0.5045024444093992,0
12932,128,174,8,1698.56,0.233993061031383,0
12933,349,15,5,1079.5,0.3956789149976344,1
12934,0,371,1,181.65,0.0021447721179624,1
12935,231,10,8,2083.16,0.4098643747043053,0
12937,273,98,5,1593.34,0.3066708721021921,1
12939,317,14,12,13683.0,0.4173395363507333,0
12941,0,359,1,377.49,0.0150134048257372,1
12942,0,0,1,258.75,0.4,1
12943,47,193,2,496.5,0.1959706670872102,1
12945,0,291,1,437.16,0.0879356568364611,1
12946,0,71,1,324.45,0.3238605898123324,1
12947,0,8,1,304.04,0.3914209115281502,1
12948,6,365,2,252.48,0.0115202649424381,1
12949,353,17,14,11359.48,0.420004731114966,0
12951,311,21,9,2149.65,0.4010093045260999,0
12953,0,157,1,498.96,0.2316353887399463,1
12954,0,273,1,162.45,0.1072386058981233,1
12956,39,319,3,413.82,0.063791200126163,1
12957,186,176,5,4689.43,0.2230247595016559,0
12958,182,35,2,539.49,0.365407664406245,1
12959,0,119,1,150.95,0.2723860589812332,1
12960,247,48,4,1322.0700000000002,0.3573489985806655,1
12961,0,14,1,211.99,0.3849865951742627,1
12963,153,0,5,1744.96,0.411764705882353,1
12964,0,72,1,132.24,0.3227882037533512,1
12967,11,6,2,2646.02,0.3965068601167008,1
12969,0,237,1,122.45,0.1458445040214477,1
12970,354,15,6,1072.73,0.3986200914682227,1
12971,357,1,33,4782.88,0.4930452609998423,0
12972,247,48,4,1161.2,0.3573489985806655,1
12973,0,48,1,385.55,0.3485254691689008,1
12974,0,200,1,264.15,0.1855227882037533,1
12975,296,71,6,2100.09,0.3385664721652736,1
12976,286,13,7,2417.78,0.4037060400567734,1
12977,9,136,3,478.39,0.2600378489197287,1
12978,344,20,5,2502.82,0.3903169847027283,1
12979,0,364,1,517.7,0.0096514745308311,1
12980,351,21,12,8870.880000000001,0.4098328339378647,0
12982,211,29,7,2354.27,0.3865478631130736,1
12983,0,233,1,490.08,0.1501340482573726,1
12986,259,63,10,2729.84,0.3589102665194764,0
12987,268,55,3,753.51,0.3469011196972086,1
12989,304,59,18,6627.64,0.3867292225201073,0
12990,201,52,4,546.0,0.3530594543447406,1
12991,0,24,1,261.06,0.3742627345844504,1
12992,0,360,1,93.35,0.013941018766756,1
12993,214,80,4,844.87,0.3230326446932661,1
12996,0,10,1,355.5,0.3892761394101877,1
12997,218,29,4,884.02,0.377724333701309,1
12998,160,127,3,920.08,0.2696893234505598,1
13000,0,360,1,497.65,0.013941018766756,1
13001,331,39,20,14353.28,0.4140592966409084,0
13002,18,51,2,293.18,0.3482494874625453,1
13004,338,21,18,5994.94,0.4274798927613941,0
13005,25,66,2,485.98,0.3321636965778268,1
13007,0,214,1,175.25,0.170509383378016,1
13008,325,32,2,382.66,0.3686248225831887,1
13009,0,307,1,234.0,0.0707774798927614,1
13010,274,9,2,330.12,0.3932897019397571,1
13011,0,7,1,50.55,0.3924932975871313,1
13012,162,64,3,1310.99,0.3372496451663775,1
13013,354,6,18,7814.83,0.4435656836461126,0
13014,0,67,1,1914.8,0.3281501340482574,1
13015,164,73,6,3240.14,0.3364217000473111,0
13018,235,48,7,2485.46,0.3661725279924302,1
13019,353,14,6,1229.95,0.3996924775272039,1
13020,97,197,2,618.96,0.1916811228512852,1
13021,360,9,8,2270.86,0.4109367607632865,1
13022,0,64,1,65.3,0.3313672922252011,1
13023,0,163,1,759.13,0.2252010723860589,1
13024,111,105,2,555.87,0.2903406402775587,1
13025,0,366,1,323.39,0.0075067024128686,1
13026,237,123,4,757.72,0.276920044157073,1
13027,303,20,13,10423.2,0.4138463964674341,0
13029,148,9,2,679.8,0.3932897019397571,1
13030,0,3,1,427.74,0.3967828418230563,1
13031,147,42,5,3419.27,0.3667244914051412,0
13032,67,27,7,1833.37,0.3886926352310361,1
13033,0,64,1,30.0,0.3313672922252011,1
13034,31,4,2,279.91,0.3986516322346633,1
13035,0,66,1,442.32,0.3292225201072386,1
13036,0,319,1,307.1,0.0579088471849865,1
13037,336,34,9,3033.88,0.3870682857593439,0
13039,138,219,4,1010.73,0.1739709824948746,1
13041,139,85,4,799.13,0.3176707143983599,1
13042,133,233,3,1556.54,0.1560164011985491,1
13044,208,127,10,4293.43,0.2902775587446775,0
13045,84,36,2,503.64,0.3643352783472638,1
13046,0,91,1,319.94,0.3024128686327078,1
13047,349,8,17,5557.62,0.4384797350575619,0
13048,245,71,5,2248.3,0.3356252956946854,1
13049,11,24,2,751.5600000000001,0.3772039110550386,1
13050,357,1,19,6507.67,0.451868790411607,0
13051,40,213,2,155.8,0.1745229459075855,1
13052,234,55,6,2820.38,0.3557246491089734,1
13053,0,256,1,127.65,0.1254691689008042,1
13055,0,64,1,1106.7,0.3313672922252011,1
13056,0,186,1,209.48,0.2005361930294906,1
13057,101,165,3,722.09,0.2289386532092729,1
13059,205,48,9,2119.77,0.3720548809336067,0
13063,0,115,1,188.4,0.2766756032171582,1
13064,41,185,2,561.25,0.20454975555906,1
13065,174,8,5,1055.05,0.4031856174105031,1
13067,36,44,2,393.05,0.355756189875414,1
13069,173,4,16,5247.01,0.4398281028228986,0
13070,272,94,3,522.9,0.3050780633969405,1
13071,0,247,1,129.22,0.1351206434316354,1
13073,26,46,2,418.08,0.3536114177574515,1
13074,212,146,4,1378.74,0.2522551648005046,1
13076,0,92,1,135.4,0.3013404825737266,1
13077,362,1,8,2335.4,0.4195158492351364,1
13078,372,1,32,16904.51,0.4901040845292541,0
13079,0,52,1,199.08,0.3442359249329759,1
13080,208,36,3,222.65,0.367276454817852,1
13081,360,6,19,30867.77,0.4465068601167008,0
13082,292,59,12,3722.12,0.3690821636965778,0
13083,0,60,1,91.68,0.335656836461126,1
13084,0,126,1,122.4,0.2648793565683646,1
13085,59,314,6,2017.2,0.0779766598328339,1
13086,0,17,1,439.33,0.381769436997319,1
13087,0,361,1,313.64,0.0128686327077748,1
13088,0,52,1,236.11,0.3442359249329759,1
13089,368,3,109,57912.03,0.7144299006465857,0
13090,129,0,13,5192.27,0.4352941176470588,0
13091,0,364,2,1976.0,0.0125926510014193,1
13092,253,49,7,1662.45,0.365100141933449,1
13093,362,8,48,47111.18,0.5296562056457972,0
13094,20,3,2,505.80000000000007,0.3997240182936445,1
13096,0,29,1,419.7000000000001,0.3689008042895442,1
13097,349,23,18,7378.8,0.4253351206434316,0
13101,182,133,3,594.21,0.2632550070966724,1
13102,217,0,14,5272.83,0.438235294117647,0
13103,139,72,2,465.7000000000001,0.3257293802239394,1
13104,237,50,3,610.62,0.3522630499921148,1
13105,0,71,1,72.0,0.3238605898123324,1
13106,0,48,1,526.96,0.3485254691689008,1
13107,259,48,5,3721.45,0.3602901750512537,0
13108,62,7,2,748.46,0.3954344740577196,1
13109,0,186,1,347.49,0.2005361930294906,1
13110,301,72,5,1468.8,0.3345529096357041,1
13111,0,353,1,321.88000000000005,0.0214477211796246,1
13112,0,176,1,20.6,0.2112600536193029,1
13113,254,1,14,6379.77,0.4371629080586658,0
13114,0,365,1,234.38,0.0085790884718498,1
13115,220,14,6,3199.92,0.3996924775272039,0
13117,258,0,12,1658.9,0.4323529411764706,0
13118,62,11,4,1217.6,0.3970272827629711,1
13119,0,303,1,134.9,0.0750670241286863,1
13123,56,107,2,506.75,0.2881958681595963,1
13124,0,20,1,916.12,0.3785522788203753,1
13125,0,158,1,158.57,0.2305630026809651,1
13126,280,1,7,1898.61,0.4165746727645482,1
13128,0,266,1,263.5,0.1147453083109919,1
13129,77,87,2,233.25,0.3096435893392209,1
13131,250,53,4,2240.4700000000003,0.3519870682857594,1
13133,0,94,1,90.65,0.2991957104557641,1
13134,14,37,2,681.65,0.3632628922882826,1
13135,0,126,1,275.45,0.2648793565683646,1
13136,355,10,8,3666.95,0.4098643747043053,0
13137,115,21,8,4062.29,0.3980681280555117,0
13138,24,7,2,504.85,0.3954344740577196,1
13139,0,72,1,3138.04,0.3227882037533512,0
13140,124,1,3,791.96,0.4048099668821952,1
13141,344,20,12,5279.83,0.4109052199968459,0
13143,0,219,1,405.1,0.1651474530831099,1
13144,0,66,1,24.4,0.3292225201072386,1
13145,227,7,4,805.0,0.4013168269988961,1
13148,343,24,14,4914.6900000000005,0.4124980287020975,0
13150,146,119,3,449.97,0.2782684119224097,1
13151,1,260,2,1322.87,0.1241208011354676,1
13152,277,52,7,2146.38,0.3618829837565053,1
13154,336,34,3,1624.84,0.3694212269358145,1
13155,123,3,3,778.4200000000001,0.4026651947642328,1
13156,290,20,3,1586.54,0.3844346317615518,1
13157,232,44,5,3946.14,0.3645797192871787,0
13158,0,23,1,307.12,0.3753351206434316,1
13161,0,135,1,366.13,0.2552278820375335,1
13162,355,15,12,7587.2,0.4162671502917521,0
13163,0,245,1,17.65,0.1372654155495978,1
13164,98,204,2,372.2,0.1841744204384166,1
13165,0,48,1,429.68,0.3485254691689008,1
13166,0,49,1,466.98,0.3474530831099196,1
13167,0,25,1,333.82,0.3731903485254692,1
13168,0,177,1,556.12,0.2101876675603217,1
13169,0,197,1,127.2,0.188739946380697,1
